level,isPromo,id,key,title,slug,link,picto,hasAlcohol,index,no_products
3,False,10325,10325,Refrigerantes sem Gás,refrigerantes-sem-gas,/shelves/bebidas/refrigerantes-e-sumos/refrigerantes-sem-gas/10325,,,184,40
3,False,11109,11109,Ice Tea e Tisanas,ice-tea-e-tisanas,/shelves/bebidas/refrigerantes-e-sumos/ice-tea-e-tisanas/11109,,,185,40
3,False,11754,11754,Néctares de Fruta,nectares-de-fruta,/shelves/bebidas/refrigerantes-e-sumos/nectares-de-fruta/11754,,,186,40
3,False,11755,11755,Sumos 100%,sumos-100%25,/shelves/bebidas/refrigerantes-e-sumos/sumos-100%25/11755,,,187,37
3,False,11756,11756,Concentrados e em Pó,concentrados-e-em-po,/shelves/bebidas/refrigerantes-e-sumos/concentrados-e-em-po/11756,,,188,20
3,False,11111,11111,Bebidas Energéticas e Isotónicas,bebidas-energeticas-e-isotonicas,/shelves/bebidas/refrigerantes-e-sumos/bebidas-energeticas-e-isotonicas/11111,,,189,31
3,False,11798,11798,Água Tónica e Ginger Ale,agua-tonica-e-ginger-ale,/shelves/bebidas/refrigerantes-e-sumos/agua-tonica-e-ginger-ale/11798,,,190,13
3,False,11476,11476,Tintos do Douro,tintos-do-douro,/shelves/garrafeira/vinhos-tintos/tintos-do-douro/11476,,,191,36
3,False,11477,11477,Tintos do Dão,tintos-do-dao,/shelves/garrafeira/vinhos-tintos/tintos-do-dao/11477,,,192,13
3,False,11714,11714,Tintos das Beiras,tintos-das-beiras,/shelves/garrafeira/vinhos-tintos/tintos-das-beiras/11714,,,193,1
3,False,11620,11620,Tintos da Bairrada,tintos-da-bairrada,/shelves/garrafeira/vinhos-tintos/tintos-da-bairrada/11620,,,194,2
3,False,11621,11621,Tintos de Lisboa e Tejo,tintos-de-lisboa-e-tejo,/shelves/garrafeira/vinhos-tintos/tintos-de-lisboa-e-tejo/11621,,,195,24
3,False,11622,11622,Tintos de Setúbal,tintos-de-setubal,/shelves/garrafeira/vinhos-tintos/tintos-de-setubal/11622,,,196,22
